Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
16:45:49 Jan 08 2024,99,87,2,0,0
16:45:53 Jan 08 2024,99,87,0,0,0
16:45:57 Jan 08 2024,99,83,1,0,0
16:46:01 Jan 08 2024,99,81,0,0,0
16:46:05 Jan 08 2024,99,81,0,0,0
16:46:09 Jan 08 2024,99,84,0,0,0
16:46:13 Jan 08 2024,99,85,0,0,0
16:46:17 Jan 08 2024,99,86,0,0,0
16:46:21 Jan 08 2024,99,86,0,0,0
16:46:25 Jan 08 2024,99,85,0,0,0
16:46:29 Jan 08 2024,99,85,9,0,0
16:46:33 Jan 08 2024,99,85,4,0,0
16:46:37 Jan 08 2024,99,85,2,0,0
16:46:41 Jan 08 2024,99,85,5,0,0
16:46:45 Jan 08 2024,99,85,4,0,0
16:46:49 Jan 08 2024,99,85,1,0,0
16:46:53 Jan 08 2024,99,85,10,0,0
16:46:57 Jan 08 2024,99,85,8,0,0
16:47:01 Jan 08 2024,99,85,1,0,0
16:47:05 Jan 08 2024,99,85,3,0,0
16:47:09 Jan 08 2024,99,85,0,0,0
16:47:13 Jan 08 2024,99,85,0,0,0
16:47:17 Jan 08 2024,99,84,0,0,0
16:47:21 Jan 08 2024,99,84,33,0,0
16:47:25 Jan 08 2024,99,84,28,0,0
16:47:29 Jan 08 2024,99,84,30,0,0
16:47:33 Jan 08 2024,99,84,9,0,0
16:47:37 Jan 08 2024,99,84,130,0,0
16:47:41 Jan 08 2024,99,84,122,0,0
16:47:45 Jan 08 2024,99,84,118,0,0
16:47:49 Jan 08 2024,99,84,16,0,0
16:47:53 Jan 08 2024,99,84,5,0,0
16:47:57 Jan 08 2024,99,84,3,0,0
16:48:01 Jan 08 2024,99,84,4,0,0
16:48:05 Jan 08 2024,99,90,0,0,0
16:48:09 Jan 08 2024,99,95,0,0,0
16:48:13 Jan 08 2024,99,93,0,0,0
16:48:17 Jan 08 2024,99,90,0,0,0
16:48:21 Jan 08 2024,99,89,0,0,0
16:48:25 Jan 08 2024,99,84,0,0,0
16:48:29 Jan 08 2024,99,77,0,0,0
16:48:33 Jan 08 2024,99,78,0,0,0
16:48:37 Jan 08 2024,99,78,0,0,0
16:48:41 Jan 08 2024,99,79,0,0,0
16:48:45 Jan 08 2024,99,79,1,0,0
16:48:49 Jan 08 2024,99,80,0,0,0
16:48:53 Jan 08 2024,98,81,0,0,0
16:48:57 Jan 08 2024,98,81,3,0,0
16:49:01 Jan 08 2024,98,81,4,0,0
16:49:05 Jan 08 2024,98,81,6,0,0
16:49:09 Jan 08 2024,97,78,0,0,0
16:49:13 Jan 08 2024,97,78,6,0,0
16:49:17 Jan 08 2024,97,78,4,0,0
16:49:21 Jan 08 2024,97,78,2,0,0
16:49:25 Jan 08 2024,97,78,5,0,0
16:49:29 Jan 08 2024,97,78,1,0,0
